estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
AC,CRUZEIRO DO SUL,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE CRUZEIRO DO SUL (24547),0,663.10,603.92,530.70
AC,RIO BRANCO,MEDICINA,CENTRO UNIVERSITÁRIO UNINORTE (2132),5,662.62,662.62,618.80
AL,MACEIÓ,MEDICINA,AFYA CENTRO UNIVERSITÁRIO UNIMA (4530),5,770.36,678.44,596.62
AL,MACEIÓ,MEDICINA,CENTRO UNIVERSITÁRIO CESMAC (621),5,779.76,734.46,566.98
AP,MACAPÁ,MEDICINA,FACULDADE INTEGRADO DE MACAPÁ/AP (28557),4,,698.20,
AM,ITACOATIARA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ITACOATIARA (24548),0,672.60,605.72,473.00
AM,MANAUS,MEDICINA,FACULDADE SANTA TERESA (18684),5,700.38,597.64,577.84
AM,MANAUS,MEDICINA,UNIVERSIDADE NILTON LINS (669),4,704.78,704.78,653.10
AM,PARINTINS,MEDICINA,FACULDADE SANTA TERESA DE PARINTINS (26860),5,,551.78,
BA,BARREIRAS,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE BARREIRAS (1227),5,709.54,705.40,649.92
BA,BRUMADO,MEDICINA,CENTRO UNIVERSITÁRIO FG (2023),4,752.66,684.06,594.40
BA,CAMAÇARI,MEDICINA,CENTRO UNIVERSITÁRIO FAMEC (1170),5,505.96,583.76,546.92
BA,EUNÁPOLIS,MEDICINA,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA (2632),5,753.80,600.16,624.40
BA,FEIRA DE SANTANA,MEDICINA,CENTRO UNIVERSITÁRIO DE EXCELÊNCIA (1053),5,716.96,601.92,590.30
