﻿estado,municipio,curso,ies,conceito_curso,nota_enem_ultimo_ampla,nota_enem_ultimo_ppiq,nota_enem_ultimo_pcd
AC,CRUZEIRO DO SUL,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE CRUZEIRO DO SUL (24547),"TIPOS DE CONCORRÊNCIA Ampla",668.22,638.48,530.7,
AC,RIO BRANCO,MEDICINA,CENTRO UNIVERSITÁRIO UNINORTE (2132),"TIPOS DE CONCORRÊNCIA Ampla",666.38,552.14,665.68,
AL,MACEIÓ,MEDICINA,AFYA CENTRO UNIVERSITÁRIO UNIMA (4530),"TIPOS DE CONCORRÊNCIA Ampla",770.36,687.86,596.62,
AL,MACEIÓ,MEDICINA,CENTRO UNIVERSITÁRIO CESMAC (621),"TIPOS DE CONCORRÊNCIA
Ampla
PPIQ",779.76,734.46,,
AP,MACAPÁ,MEDICINA,FACULDADE INTEGRADO DE MACAPÁ/AP (28557),"TIPOS DE CONCORRÊNCIA Ampla",729.46,698.2,561.4,
AM,ITACOATIARA,MEDICINA,AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ITACOATIARA (24548),"TIPOS DE CONCORRÊNCIA Ampla",672.6,675.7,473.0,
AM,MANAUS,MEDICINA,FACULDADE SANTA TERESA (18684),"TIPOS DE CONCORRÊNCIA Ampla",700.38,597.64,577.84,
AM,MANAUS,MEDICINA,UNIVERSIDADE NILTON LINS (669),"TIPOS DE CONCORRÊNCIA Ampla",704.78,627.16,653.1,
AM,PARINTINS,MEDICINA,FACULDADE SANTA TERESA DE PARINTINS (26860),,,500.88,,
BA,ALAGOINHAS,MEDICINA,FACULDADE ESTÁCIO DE ALAGOINHAS (22076),"TIPOS DE CONCORRÊNCIA Ampla",718.02,612.8,539.98,
BA,BARREIRAS,MEDICINA,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE BARREIRAS (1227),"TIPOS DE CONCORRÊNCIA Ampla",709.54,705.4,649.92,
BA,BRUMADO,MEDICINA,CENTRO UNIVERSITÁRIO FG (2023),"TIPOS DE CONCORRÊNCIA Ampla",752.66,718.76,594.4,
BA,CAMAÇARI,MEDICINA,CENTRO UNIVERSITÁRIO FAMEC (1170),"TIPOS DE CONCORRÊNCIA
Ampla
PCD",505.96,585.56,583.6,
BA,CONCEIÇÃO DO COITÉ,MEDICINA,FACULDADE DA REGIÃO SISALEIRA (18636),,,619.36,,
BA,EUNÁPOLIS,MEDICINA,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA (2632),"TIPOS DE CONCORRÊNCIA Ampla",753.8,619.26,624.4,
BA,FEIRA DE SANTANA,MEDICINA,CENTRO UNIVERSITÁRIO DE EXCELÊNCIA (1053),"TIPOS DE CONCORRÊNCIA Ampla",719.12,617.18,590.3,
